Journal of Neural Transmission,paper_titles,ISSN,eISSN,Impact_factor
1328,Journal of Bioeconomics,1387-6996,1573-6989,6 days
1329,Journal of Bioenergetics and Biomembranes,0145-479X,1573-6881,3.0 (2022)
1330,Journal of Bioethical Inquiry,1176-7529,1872-4353,2.4 (2022)
1331,Journal of Biological Engineering,,,
1332,Journal of Biological Physics,0092-0606,1573-0689,1.8 (2022)
1333,Journal of Biological Research-Thessaloniki,,,
1334,Journal of Biology,,,
1335,Journal of Biomedical Discovery and Collaboration,,,
1336,Journal of Biomedical Science,,,
1337,Journal of Biomedical Science,,,
1338,Journal of Biomedical Semantics,,,
1339,Journal of Biomolecular NMR,0925-2738,1573-5001,2.7 (2022)
1340,Journal of Bionic Engineering,1672-6529,2543-2141,4.0 (2022)
1341,Journal of Biorheology,,,
1342,Journal of Biosciences,,,2.9 (2022)
1343,Journal of Biosystems Engineering,1738-1266,2234-1862,8 days
1344,Journal of Bone and Mineral Metabolism,0914-8779,1435-5604,3.3 (2022)
1345,Journal of Brachial Plexus and Peripheral Nerve Injury,,,
1346,Journal of Building Appraisal,,,
1347,Journal of Building Pathology and Rehabilitation,2365-3159,2365-3167,6 days
1348,Journal of Business Cycle Research,2509-7962,2509-7970,35 days
1349,Journal of Business Economics,0044-2372,1861-8928,8 days
1350,Journal of Business Ethics,0167-4544,1573-0697,6.1 (2022)
1351,Journal of Business Market Management,,,
1352,Journal of Business and Psychology,0889-3268,1573-353X,4.8 (2022)
1353,"Journal of Cachexia, Sarcopenia and Muscle",,,
1354,Journal of Cancer Education,0885-8195,1543-0154,1.6 (2022)
1355,Journal of Cancer Research and Clinical Oncology,0171-5216,1432-1335,3.6 (2022)
1356,Journal of Cancer Survivorship,1932-2259,1932-2267,3.7 (2022)
1357,Journal of Cannabis Research,,,
1358,Journal of Cardiothoracic Surgery,,,
1359,Journal of Cardiovascular Magnetic Resonance,,,
1360,Journal of Cardiovascular Translational Research,1937-5387,1937-5395,3.4 (2022)
1361,Journal of Career Development,,,
1362,Journal of Cell Communication and Signaling,1873-9601,1873-961X,4.1 (2022)
1363,Journal of Central South University,2095-2899,2227-5223,4.4 (2022)
1364,Journal of Chemical Biology,,,
1365,Journal of Chemical Crystallography,1074-1542,1572-8854,0.8 (2022)
1366,Journal of Chemical Ecology,0098-0331,1573-1561,2.3 (2022)
1367,Journal of Chemical Sciences,,,1.7 (2022)
1368,Journal of Cheminformatics,,,
1369,Journal of Child & Adolescent Trauma,1936-1521,1936-153X,1.5 (2022)
1370,Journal of Child and Adolescent Group Therapy,,,
1371,Journal of Child and Family Studies,1062-1024,1573-2843,2.1 (2022)
1372,Journal of Children's Orthopaedics,,,
1373,Journal of Chinese Management,,,
1374,Journal of Chinese Political Science,1080-6954,1874-6357,4.4 (2022)
1375,Journal of Chinese Studies,,,
1376,Journal of Circadian Rhythms,,,
1377,Journal of Civil Structural Health Monitoring,2190-5452,2190-5479,4.4 (2022)
1378,Journal of Classification,0176-4268,1432-1343,2.0 (2022)
1379,Journal of Clinical Bioinformatics,,,
1380,Journal of Clinical Geropsychology,,,
1381,Journal of Clinical Immunology,0271-9142,1573-2592,9.1 (2022)
1382,Journal of Clinical Monitoring and Computing,1387-1307,1573-2614,2.2 (2022)
1383,Journal of Clinical Movement Disorders,,,
1384,Journal of Clinical Psychology in Medical Settings,1068-9583,1573-3572,2.2 (2022)
1385,Journal of Cloud Computing,,,
1386,Journal of Cluster Science,1040-7278,1572-8862,2.8 (2022)
1387,Journal of Coal Science and Engineering (China),,,
1388,Journal of Coastal Conservation,1400-0350,1874-7841,2.1 (2022)
1389,Journal of Coatings Technology,,,
1390,Journal of Coatings Technology and Research,,,2.3 (2022)
1391,Journal of Cognitive Enhancement,2509-3290,2509-3304,2.2 (2022)
1392,Journal of Combinatorial Optimization,1382-6905,1573-2886,1.0 (2022)
1393,Journal of Commercial Biotechnology,,,
1394,Journal of Communications Technology and Electronics,1064-2269,1555-6557,0.5 (2022)
1395,Journal of Communications and Information Networks,,,
1396,Journal of Community Genetics,1868-310X,1868-6001,1.9 (2022)
1397,Journal of Community Health,0094-5145,1573-3610,5.9 (2022)
1398,Journal of Comparative Physiology A,0340-7594,1432-1351,2.1 (2022)
1399,Journal of Comparative Physiology B,0174-1578,1432-136X,2.0 (2022)
1400,Journal of Comparative Policy Analysis,,,
1401,Journal of Compassionate Health Care,,,
1402,Journal of Computational Analysis and Applications,,,
1403,Journal of Computational Electronics,1569-8025,1572-8137,2.1 (2022)
1404,Journal of Computational Neuroscience,0929-5313,1573-6873,1.2 (2022)
1405,Journal of Computational Social Science,2432-2717,2432-2725,3.2 (2022)
1406,Journal of Computational Surgery,,,
1407,Journal of Computer Science and Technology,1000-9000,1860-4749,1.9 (2022)
1408,Journal of Computer Virology and Hacking Techniques,,,1.5 (2022)
1409,Journal of Computer and Systems Sciences International,1064-2307,1555-6530,0.6 (2022)
1410,Journal of Computer-Aided Molecular Design,0920-654X,1573-4951,3.5 (2022)
1411,Journal of Computer-Assisted Microscopy,,,
1412,Journal of Computers in Education,2197-9987,2197-9995,6.1 (2022)
1413,Journal of Computing in Higher Education,1042-1726,1867-1233,5.6 (2022)
1414,Journal of Congenital Cardiology,,,
1415,Journal of Consumer Policy,0168-7034,1573-0700,2.3 (2022)
1416,Journal of Consumer Protection and Food Safety,,,2.4 (2022)
1417,Journal of Contemporary Mathematical Analysis (Armenian Academy of Sciences),1068-3623,1934-9416,0.3 (2022)
1418,Journal of Contemporary Physics (Armenian Academy of Sciences),1068-3372,1934-9378,0.6 (2022)
1419,Journal of Contemporary Psychotherapy,0022-0116,1573-3564,2.0 (2022)
1420,"Journal of Control, Automation and Electrical Systems",2195-3880,2195-3899,1.5 (2022)
1421,Journal of Cotton Research,,,
1422,Journal of Crop Science and Biotechnology,1975-9479,2005-8276,7 days
1423,Journal of Cross-Cultural Gerontology,0169-3816,1573-0719,2.0 (2022)
1424,Journal of Cryptographic Engineering,2190-8508,2190-8516,1.9 (2022)
1425,Journal of Cryptology,0933-2790,1432-1378,3.0 (2022)
1426,Journal of Cultural Cognitive Science,2520-100X,2520-1018,1.8 (2022)
1427,Journal of Cultural Economics,0885-2545,1573-6997,2.7 (2022)
1428,Journal of Cutaneous Medicine and Surgery,,,
1429,"Journal of Data, Information and Management",2524-6356,2524-6364,12 days
1430,Journal of Database Marketing & Customer Strategy Management,,,
1431,Journal of Derivatives & Hedge Funds,,,
1432,Journal of Developmental and Life-Course Criminology,2199-4641,2199-465X,1.9 (2022)
1433,Journal of Developmental and Physical Disabilities,1056-263X,1573-3580,1.8 (2022)
1434,Journal of Dharma Studies,2522-0926,2522-0934,34 days
1435,Journal of Diabetes & Metabolic Disorders,,,2.8 (2022)
1436,Journal of Digital Asset Management,,,
1437,"Journal of Direct, Data and Digital Marketing Practice",,,
1438,Journal of Dynamic Behavior of Materials,2199-7446,2199-7454,1.7 (2022)
1439,Journal of Dynamical and Control Systems,1079-2724,1573-8698,0.9 (2022)
1440,ZDM – Mathematics Education,1863-9690,1863-9704,3.0 (2022)
1441,Zeitschrift für Allgemeinmedizin,1433-6251,1439-9229,
1442,Zeitschrift für Arbeitswissenschaft,0340-2444,2366-4681,"255,372 (2022)"
1443,Zeitschrift für Außen- und Sicherheitspolitik,1866-2188,1866-2196,"93,666 (2022)"
1444,Zeitschrift für Bevölkerungswissenschaft,,,
1445,Zeitschrift für Bildungsforschung,2190-6890,2190-6904,32 days
1446,Zeitschrift für Didaktik der Naturwissenschaften,,,6 days
1447,Zeitschrift für Energiewirtschaft,0343-5377,1866-2765,"48,969 (2022)"
1448,Zeitschrift für Erziehungswissenschaft,1434-663X,1862-5215,1.4 (2022)
1449,Zeitschrift für Ethik und Moralphilosophie,,,"55,178 (2022)"
1450,Zeitschrift für Europäisches Unternehmens- und Verbraucherrecht,,,
1451,Zeitschrift für Friedens- und Konfliktforschung,2192-1741,2524-6976,30 days
1452,Zeitschrift für Gerontologie und Geriatrie,0948-6704,1435-1269,1.2 (2022)
1453,Zeitschrift für Grundschulforschung,1865-3553,2523-3181,"123,567 (2022)"
1454,"Zeitschrift für Herz-,Thorax- und Gefäßchirurgie",0930-9225,1435-1277,0.1 (2022)
1455,"Zeitschrift für Hochschulrecht, Hochschulmanagement und Hochschulpolitik: zfhr",,,
1456,Zeitschrift für Immobilienökonomie,,,"51,364 (2022)"
1457,"Zeitschrift für Kristallographie, Mineralogie und Petrographie",,,
1458,Zeitschrift für Literaturwissenschaft und Linguistik,0049-8653,2365-953X,0.2 (2022)
1459,Zeitschrift für Management,,,
1460,Zeitschrift für Parlamentsfragen,,,
1461,Zeitschrift für Physik A Hadrons and nuclei,,,
1462,Zeitschrift für Physik B Condensed Matter,,,
1463,Zeitschrift für Physik C Particles and Fields,,,
1464,"Zeitschrift für Physik D Atoms,Molecules and Clusters",,,
1465,Zeitschrift für Pneumologie,2731-7404,2731-7412,0.2 (2022)
1466,Zeitschrift für Politikberatung,,,
1467,Zeitschrift für Politikwissenschaft,1430-6387,2366-2638,"145,638 (2022)"
1468,Zeitschrift für Psychodrama und Soziometrie,1619-5507,1862-2526,"143,762 (2022)"
1469,"Zeitschrift für Religion, Gesellschaft und Politik",,,"73,837 (2022)"
1470,Zeitschrift für Rheumatologie,0340-1855,1435-1250,1.0 (2022)
1471,Zeitschrift für Vergleichende Politikwissenschaft,,,1.5 (2022)
1472,Zeitschrift für Weiterbildungsforschung,,,14 days
1473,Zeitschrift für angewandte Mathematik und Physik,0044-2275,1420-9039,2.0 (2022)
1474,Zeitschrift für die gesamte Neurologie und Psychiatrie,,,
1475,Zeitschrift für die gesamte Versicherungswissenschaft,0044-2585,1865-9748,229 days
1476,Zeitschrift für die experimentelle Pathologie,,,
1477,Zeitschrift für öffentliches Recht,,,
1478,"Zentralblatt für Arbeitsmedizin, Arbeitsschutz und Ergonomie",0944-2502,2198-0713,0.6 (2022)
1479,Zoological Letters,,,
1480,Zoological Studies,,,
1481,Zoomorphology,0720-213X,1432-234X,1.0 (2022)
1482,Zorg + Welzijn,1381-4664,2468-1369,"28,063 (2022)"
1483,Zorg en Financiering,,,
1484,Zorgvisie,1384-4199,2468-1415,"34,233 (2022)"
1485,Zorgvisie tech,2662-7000,2662-7019,"10,743 (2021)"
1486,IIC - International Review of Intellectual Property and Competition Law,0018-9855,2195-0237,1.0 (2022)
1487,IIE Transactions,,,
1488,IMA Fungus,,,
1489,IPSJ Transactions on Computer Vision and Applications,,,
1490,ISSS Journal of Micro and Smart Systems,2509-7989,2509-7997,32 days
1491,IST International Surface Technology,1865-4827,2192-8703,"19,953 (2022)"
1492,IZA Journal of Development and Migration,,,
1493,IZA Journal of European Labor Studies,,,
1494,IZA Journal of Labor & Development,,,
1495,IZA Journal of Labor Economics,,,
1496,IZA Journal of Labor Policy,,,
1497,Ichthyological Research,1341-8998,1616-3915,1.2 (2022)
1498,Iconographia mycologica,,,
1499,Identity in the Information Society,,,
1500,Il Cimento,,,
1501,Il Nuovo Cimento (1855-1868),,,
1502,Il Nuovo Cimento (1869-1876),,,
1503,Il Nuovo Cimento (1877-1894),,,
1504,Il Nuovo Cimento (1895-1900),,,
1505,Il Nuovo Cimento (1901-1910),,,
1506,Il Nuovo Cimento (1911-1923),,,
1507,Il Nuovo Cimento (1924-1042),,,
1508,Il Nuovo Cimento (1943-1954),,,
1509,Il Nuovo Cimento (1955-1965),,,
1510,Il Nuovo Cimento A (1965-1970),,,
1511,Il Nuovo Cimento A (1971-1996),,,
1512,Il Nuovo Cimento B (1965-1970),,,
1513,Il Nuovo Cimento B (1971-1996),,,
1514,Il Nuovo Cimento C,,,
1515,Il Nuovo Cimento D,,,
1516,Im Fokus Onkologie,1435-7402,2192-5674,"314,514 (2022)"
1517,Immunity & Ageing,,,
1518,Immunogenetics,0093-7711,1432-1211,3.2 (2022)
1519,Immunologic Research,0257-277X,1559-0755,4.4 (2022)
1520,Immunome Research,,,
1521,Implementation Science,,,
1522,Implementation Science Communications,,,
1523,In Silico Cell and Tissue Science,,,
1524,In Silico Pharmacology,,,14 days
1525,In Vitro Cellular & Developmental Biology - Animal,,,2.1 (2022)
1526,In Vitro Cellular & Developmental Biology - Plant,,,2.6 (2022)
1527,In vitro models,,,2 days
1528,InFo Hämatologie + Onkologie,2662-1754,2662-1762,"189,663 (2022)"
1529,InFo Neurologie + Psychiatrie,1437-062X,2195-5166,"412,689 (2022)"
1530,Indian Economic Review,0019-4670,2520-1778,9 days
1531,Indian Geotechnical Journal,0971-9555,2277-3347,1.4 (2022)
1532,Indian Journal of Clinical Biochemistry,0970-1915,0974-0422,2.1 (2022)
1533,Indian Journal of Gastroenterology,0254-8860,0975-0711,2.0 (2022)
1534,Indian Journal of Gynecologic Oncology,2363-8397,2363-8400,0.4 (2022)
1535,Indian Journal of Hematology and Blood Transfusion,0971-4502,0974-0449,0.9 (2022)
1536,Indian Journal of History of Science,,,13 days
1537,Indian Journal of International Law,,,
1538,Indian Journal of Microbiology,0046-8991,0973-7715,3.0 (2022)
1539,Indian Journal of Orthopaedics,0019-5413,1998-3727,1.0 (2022)
1540,Indian Journal of Otolaryngology and Head & Neck Surgery,2231-3796,0973-7707,0.6 (2022)
1541,Indian Journal of Pediatrics,0019-5456,0973-7693,4.3 (2022)
1542,Indian Journal of Physics,0973-1458,0974-9845,2.0 (2022)
1543,Indian Journal of Pure and Applied Mathematics,0019-5588,0975-7465,0.7 (2022)
1544,Indian Journal of Surgery,0972-2068,0973-9793,0.4 (2022)
1545,Indian Journal of Surgical Oncology,0975-7651,0976-6952,0.5 (2022)
1546,Indian Journal of Thoracic and Cardiovascular Surgery,0970-9134,0973-7723,0.7 (2022)
1547,Indian Pediatrics,0019-6061,0974-7559,2.3 (2022)
1548,Indian Phytopathology,0367-973X,2248-9800,20 days
1549,Indo-Iranian Journal,,,
1550,Infection,0300-8126,1439-0973,7.5 (2022)
1551,Infectious Agents and Cancer,,,
1552,Infectious Diseases and Therapy,2193-8229,2193-6382,5.4 (2022)
1553,Infectious Diseases of Poverty,,,
1554,Inflammation,0360-3997,1573-2576,5.1 (2022)
1555,Inflammation Research,1023-3830,1420-908X,6.7 (2022)
1556,Inflammation and Regeneration,,,
1557,Inflammopharmacology,0925-4692,1568-5608,5.8 (2022)
1558,Info Diabetologie,1865-5459,2196-6362,"121,673 (2022)"
1559,Informatik Spektrum,0170-6012,1432-122X,"183,358 (2022)"
1560,Information Geometry,2511-2481,2511-249X,25 days
1561,Information Retrieval Journal,1386-4564,1573-7659,2.5 (2022)
1562,Information Systems Frontiers,1387-3326,1572-9419,5.9 (2022)
1563,Information Systems and e-Business Management,1617-9846,1617-9854,3.6 (2022)
1564,Information Technology & Tourism,1098-3058,1943-4294,9.3 (2022)
1565,Information Technology and Management,1385-951X,1573-7667,2.4 (2022)
1566,Infrastructure Complexity,,,
1567,Injury Epidemiology,,,
1568,Inland Water Biology,1995-0829,1995-0837,0.9 (2022)
1569,Innovation and Education,,,
1570,Innovations in Systems and Software Engineering,1614-5046,1614-5054,1.2 (2022)
1571,Innovative Higher Education,0742-5627,1573-1758,2.2 (2022)
1572,Innovative Infrastructure Solutions,2364-4176,2364-4184,2.4 (2022)
1573,Inorganic Materials,0020-1685,1608-3172,0.8 (2022)
1574,Inorganic Materials: Applied Research,2075-1133,2075-115X,"23,599 (2022)"
1575,Inpharma Weekly,,,
1576,Insectes Sociaux,0020-1812,1420-9098,1.3 (2022)
1577,Insights into Imaging,,,
1578,Instructional Science,0020-4277,1573-1952,2.5 (2022)
1579,Instruments and Experimental Techniques,0020-4412,1608-3180,0.6 (2022)
1580,Integral Equations and Operator Theory,0378-620X,1420-8989,0.8 (2022)
1581,Integrated Assessment,,,
1582,Integrated Pest Management Reviews,,,
1583,Integrating Materials and Manufacturing Innovation,2193-9764,2193-9772,3.3 (2022)
1584,Integrative Psychological and Behavioral Science,1932-4502,1936-3567,1.2 (2022)
1585,Intelligent Industrial Systems,,,
1586,Intelligent Service Robotics,1861-2776,1861-2784,2.5 (2022)
1587,Intensive Care Medicine,0342-4642,1432-1238,38.9 (2022)
1588,Intensive Care Medicine Experimental,,,
1589,Intensive Care Research,,,
1590,Intensivmedizin und Notfallmedizin,,,
1591,Interactive Surgery,,,
1592,Interceram - International Ceramic Review,,,
1593,Interchange,0826-4805,1573-1790,23 days
1594,Interdisciplinary Sciences: Computational Life Sciences,1913-2751,1867-1462,4.8 (2022)
1595,Intereconomics,,,
1596,Interface Science,,,
1597,Internal and Emergency Medicine,1828-0447,1970-9366,4.6 (2022)
1598,International Advances in Economic Research,1083-0898,1573-966X,1.2 (2022)
1599,International Applied Mechanics,1063-7095,1573-8582,0.7 (2022)
1600,International Aquatic Research,,,
1601,International Archives of Occupational and Environmental Health,0340-0131,1432-1246,3.0 (2022)
1602,International Breastfeeding Journal,,,
1603,International Cancer Conference Journal,,,0.7 (2022)
1604,International Commerce Review,,,
1605,International Communication of Chinese Culture,2197-4233,2197-4241,0.3 (2022)
1606,International Criminology,2662-9968,2662-9976,17 days
1607,International Cybersecurity Law Review,2662-9720,2662-9739,7 days
1608,International Economics and Economic Policy,1612-4804,1612-4812,1.7 (2022)
1609,International Entrepreneurship and Management Journal,1554-7191,1555-1938,5.6 (2022)
1610,"International Environmental Agreements: Politics, Law and Economics",1567-9764,1573-1553,3.4 (2022)
1611,International Journal for Educational Integrity,,,
1612,International Journal for Educational and Vocational Guidance,1873-0388,1573-1782,1.8 (2022)
1613,International Journal for Equity in Health,,,
1614,International Journal for Ion Mobility Spectrometry,,,
1615,International Journal for Philosophy of Religion,0020-7047,1572-8684,0.9 (2022)
1616,International Journal for the Advancement of Counselling,0165-0653,1573-3246,1.5 (2022)
1617,International Journal for the Semiotics of Law - Revue internationale de Sémiotique juridique,0952-8059,1572-8722,0.8 (2022)
1618,International Journal of Advanced Structural Engineering,,,
1619,International Journal of Advances in Engineering Sciences and Applied Mathematics,0975-0770,0975-5616,0.9 (2022)
1620,International Journal of Aeronautical and Space Sciences,2093-274X,2093-2480,1.7 (2022)
1621,International Journal of Angiology,,,
1622,International Journal of Anthropology,,,
1623,International Journal of Anthropology and Ethnology,,,
1624,International Journal of Applied Positive Psychology,2364-5040,2364-5059,42 days
1625,International Journal of Applied and Computational Mathematics,2349-5103,2199-5796,13 days
1626,International Journal of Arrhythmia,,,
1627,International Journal of Artificial Intelligence in Education,,,4.9 (2022)
1628,International Journal of Asian Management,,,
1629,International Journal of Automotive Technology,1229-9138,1976-3832,1.6 (2022)
1630,International Journal of Behavioral Medicine,1070-5503,1532-7558,2.7 (2022)
1631,International Journal of Behavioral Nutrition and Physical Activity,,,
1632,International Journal of Biometeorology,0020-7128,1432-1254,3.2 (2022)
1633,International Journal of Bipolar Disorders,,,
1634,International Journal of Bullying Prevention,2523-3653,2523-3661,18 days
1635,International Journal of Child Care and Education Policy,,,
1636,International Journal of Civil Engineering,1735-0522,2383-3874,1.7 (2022)
